"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"DISPLAY","PCB-nzup0ao0a905uvbg1qqh-1","121.25mm","102.995mm","121.25mm","101.5mm","119.75mm","101.5mm","T","360.00","Molex 503763-0491"
"DE0000??","PCB-bbw1kdpwysokmsivu4jb-1","0mm","0mm","106.5mm","103mm","0mm","0mm","T","360.00","OSHWA Certification Logo"
"U4","SO8_L","121.25mm","115mm","121.25mm","115mm","118.9mm","116.905mm","T","360.00","LM317LD13TR"
"U2","PCB-11-4M1S","109.87mm","142.7mm","108.6mm","139.2mm","108.6mm","139.2mm","T","90.00","Toshiba TLP175A(TPL,E"
"U1","D8_M","116.75mm","140.4mm","116.75mm","140.4mm","114.3mm","142.305mm","T","0.00","  SN65HVDA1040BQDRQ1"
"R31","RESC1608X55X30ML15T15","124.4mm","141.6mm","124.4mm","141.6mm","123.675mm","141.6mm","T","360.00","10k"
"R30","PCB-etsube69rmkcafwxmreb-1","131mm","141.6mm","131mm","141.6mm","130.325mm","141.6mm","T","360.00","4.7k"
"R29","RESC1608X55X25NL10T15","123.1mm","138.9mm","123.1mm","138.9mm","123.1mm","138.2mm","T","90.00","47k"
"R28","PCB-etsube69rmkcafwxmreb-1","131.6mm","139.3mm","131.6mm","139.3mm","131.6mm","139.975mm","T","270.00","4.7k"
"R27","PCB-uhe9tyrxjxtyns74xhh5-1","131mm","146.7mm","131mm","146.7mm","130.275mm","146.7mm","T","360.00","22k"
"R26","RESC1608X55X30ML15T15","128.9mm","136.2mm","128.9mm","136.2mm","128.175mm","136.2mm","T","360.00","10k"
"R25","RESC1608X55X30ML15T15","128.9mm","134.5mm","128.9mm","134.5mm","129.625mm","134.5mm","T","180.00","10k"
"R24","PCB-etsube69rmkcafwxmreb-1","139.4455mm","145.6545mm","139.4455mm","145.6545mm","139.4455mm","146.3295mm","T","270.00","4.7k"
"R23","PCB-uhe9tyrxjxtyns74xhh5-1","128.9mm","132.7mm","128.9mm","132.7mm","129.625mm","132.7mm","T","180.00","22k"
"R22","RESC1608X55X30ML15T15","137.6455mm","145.6545mm","137.6455mm","145.6545mm","137.6455mm","144.9295mm","T","90.00","10k"
"R21","PCB-etsube69rmkcafwxmreb-1","134.7mm","138.2mm","134.7mm","138.2mm","134.025mm","138.2mm","T","360.00","4.7k"
"R20","RESC1609X50X30LL10T20","113.4mm","131.6mm","113.4mm","131.6mm","112.825mm","131.6mm","T","360.00","33k"
"R19","PCB-2t5lv6a742zfbi3344hk-1","119.6mm","109.6mm","119.6mm","109.6mm","118.925mm","109.6mm","T","0.00","2.2k"
"R18","PCB-2t5lv6a742zfbi3344hk-1","122.9mm","109.6mm","122.9mm","109.6mm","122.225mm","109.6mm","T","360.00","2.2k"
"R17","RESC1608X55X30ML15T15","122.9mm","111.3mm","122.9mm","111.3mm","123.625mm","111.3mm","T","180.00","470R"
"R16","PCB-etsube69rmkcafwxmreb-1","107mm","134.9mm","107mm","134.9mm","107.675mm","134.9mm","T","180.00","4.7k"
"R15","RESC1608X55X25NL10T15","113.4mm","133.3mm","113.4mm","133.3mm","114.1mm","133.3mm","T","180.00","47k"
"R14","RESC1608X55X30ML15T15","119.6mm","111.3mm","119.6mm","111.3mm","120.325mm","111.3mm","T","180.00","470R"
"R13","PCB-2t5lv6a742zfbi3344hk-1","113.4mm","129.9mm","113.4mm","129.9mm","114.075mm","129.9mm","T","180.00","2.2k"
"R12","RESC1608X55X30LL15T15","107mm","132.6mm","107mm","132.6mm","107.625mm","132.6mm","T","180.00","510R"
"R11","RESC1608X55X30ML15T15","110.2mm","126.5mm","110.2mm","126.5mm","110.925mm","126.5mm","T","180.00","470R"
"R10","PCB-2t5lv6a742zfbi3344hk-1","113.4mm","128.2mm","113.4mm","128.2mm","114.075mm","128.2mm","T","180.00","2.2k"
"R9","RESC1608X55X30ML15T15","110.2mm","124.8mm","110.2mm","124.8mm","110.925mm","124.8mm","T","180.00","470R"
"R8","RESC1608X55X30ML15T15","128.8618mm","121.2625mm","128.8618mm","121.2625mm","129.5868mm","121.2625mm","T","180.00","10k"
"R7","RESC1608X55X30ML15T15","110.2mm","123.1mm","110.2mm","123.1mm","110.925mm","123.1mm","T","180.00","470R"
"R6","RESC1608X55X30LL15T15","107mm","129.2mm","107mm","129.2mm","107.625mm","129.2mm","T","180.00","510R"
"R5","RESC1608X55X25NL10T15","128.85mm","123mm","128.85mm","123mm","128.15mm","123mm","T","0.00","47k"
"R4","RESC1608X55X30ML15T15","110.2mm","121.4mm","110.2mm","121.4mm","110.925mm","121.4mm","T","180.00","470R"
"R3","PCB-v68sgn6ke4f14exp45ms-1","106.9mm","139.3mm","106.9mm","139.3mm","106.9mm","139.95mm","T","270.00","1k"
"R2","RESC1608X55X30NL20T20","121.7mm","141.8mm","121.7mm","141.8mm","121.7mm","142.45mm","T","270.00","10k"
"R1","PCB-0qlda1atjsqvxdqujt6y-1","106.9mm","145.9mm","106.9mm","145.9mm","106.9mm","146.625mm","T","270.00","100R"
"Q7","PCB-ziwija0k6kzehc3r3ytq-1","128.8mm","138.9mm","128.8mm","138.9mm","127.8mm","139.85mm","T","360.00","KSC1623LMTF"
"Q6","PCB-7xrtyj4iuo3girv69boj-1","125.4mm","138.9mm","125.4mm","138.9mm","124.4mm","139.85mm","T","360.00","SST4401"
"Q5","PCB-ziwija0k6kzehc3r3ytq-1","131mm","144.2mm","131mm","144.2mm","130.05mm","143.2mm","T","90.00","KSC1623LMTF"
"Q4","PCB-7xrtyj4iuo3girv69boj-1","134.9mm","144.2mm","134.9mm","144.2mm","133.95mm","143.2mm","T","90.00","SST4401"
"Q3","PCB-ziwija0k6kzehc3r3ytq-1","134.9mm","140.7mm","134.9mm","140.7mm","133.95mm","139.7mm","T","90.00","KSC1623LMTF"
"Q2","PCB-ziwija0k6kzehc3r3ytq-1","110.1mm","132.6mm","110.1mm","132.6mm","111.1mm","131.65mm","T","180.00","KSC1623LMTF"
"Q1","PCB-ziwija0k6kzehc3r3ytq-1","110.1mm","129.2mm","110.1mm","129.2mm","111.1mm","128.25mm","T","180.00","KSC1623LMTF"
"L1","WE-SL1","123.3mm","145.2mm","123.3mm","145.2mm","125.85mm","146.45mm","T","180.00","744212101"
"D8","SOD110-R","127.6924mm","141.6mm","127.7mm","141.6mm","128.65mm","141.6mm","T","180.00","1N4148WT"
"D7","SOD110-R","134.9076mm","146.7mm","134.9mm","146.7mm","133.95mm","146.7mm","T","0.00","1N4148WT"
"D6","SOD110-R","107.0076mm","136.7mm","107mm","136.7mm","106.05mm","136.7mm","T","0.00","1N4148WT"
"RX2","VISH-LED0603-2_V","107mm","126.5mm","107mm","126.5mm","106.25mm","126.5mm","T","360.00","VLMW1300-GS08"
"TX2","VISH-LED0603-2_V","107mm","124.8mm","107mm","124.8mm","106.25mm","124.8mm","T","360.00","VLMW1300-GS08"
"RX1","0603D_B","107mm","123.1mm","107mm","123.1mm","106.238mm","123.1mm","T","360.00","TLMO1000-GS08"
"TX1","0603D_B","107mm","121.4mm","107mm","121.4mm","106.238mm","121.4mm","T","360.00","TLMO1000-GS08"
"D1","PCB-chcn99imho3pthlaq6dn-1","114.5mm","145.4mm","114.5mm","145.4mm","113.5mm","146.35mm","T","360.00","NXP Semiconductors PESD2CAN,215"
"C3","CAPC1608X90X35LL15T15","128.8611mm","119.6623mm","128.8611mm","119.6623mm","129.5111mm","119.6623mm","T","180.00","100n"
"C2","CAPC1608X90X35ML10T15","117.9mm","144.2mm","117.9mm","144.2mm","117.175mm","144.2mm","T","360.00","1000p"
"C1","CAPC1608X90X35ML10T15","117.9mm","146.3mm","117.9mm","146.3mm","117.175mm","146.3mm","T","0.00","1000p"
"CH1","PCB-xrqhdd8vohmcdf5jpup6-1","130.35mm","113mm","130.5mm","113mm","131.897mm","114.016mm","T","90.00","Binder 09 0416 90 05"
"J1","PCB-qkngfwumds4pa5a4mwtz-1","139.5mm","127mm","139.5mm","127mm","140.77mm","142.875mm","B","270.00","Würth Elektronik 690357102672"
"J2","PCB-qkngfwumds4pa5a4mwtz-1","103mm","127mm","103mm","127mm","101.73mm","111.125mm","B","90.00","Würth Elektronik 690357102672"
"PWR","PCB-cew32lc1id8viylqw7kc-1","112mm","113mm","112mm","113mm","113.1mm","111.9mm","T","90.00","Binder 09 0412 90 04"
"C4","CAPC1608X92X38ML15T08","135.7mm","120.4mm","135.7mm","120.4mm","135.7mm","119.675mm","T","90.00","27pf"
"C5","CAPC1608X92X38ML15T08","135.7mm","135.4mm","135.7mm","135.4mm","135.7mm","136.125mm","T","270.00","27pf"
"J3","PCB-krlm1c4jmoo7ayn28og9-1","121.25mm","150.5mm","121.25mm","150.5mm","135.25mm","152mm","T","90.00","C-OBD-II-16M"
"U3","PCB-evwizskcjaglj2zv5vwi-1","121.2mm","128.255mm","125.9mm","120mm","125.9mm","120mm","T","90.00","ELM327DS"
"X1","PCB-779486-1","133.5mm","127.9mm","133.5mm","127.9mm","133.5mm","123.15mm","T","90.00","ABLS-4.000MHZ-B2-T"

